CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.971  			15.800			0.700			80016  		78395  		8992  		61484  		831464  		924956
	
0.962  			11.400			0.700			80016  		78395  		8992  		61484  		831464  		924956
	
2.971  			10.200			0.700			80016  		78395  		8992  		61220  		831728  		925220
	
1.000  			8.700			0.700			80016  		78395  		8992  		61444  		831504  		924996
	
1.971  			8.000			0.700			80016  		78395  		8992  		61396  		831552  		925044
	
0.971  			7.300			0.700			80016  		78395  		8992  		61492  		831448  		924940
	
1.000  			6.400			0.700			80016  		78395  		8992  		61488  		831452  		924952
	
1.000  			6.000			0.700			80016  		78395  		8992  		61184  		831756  		925256
	
1.000  			5.400			0.700			80016  		78395  		8992  		61356  		831584  		925084
	
0.962  			5.200			0.700			80016  		78395  		8992  		61540  		831392  		924900
	
1.971  			4.700			0.700			80016  		78395  		8992  		61576  		831356  		924864
	
0.000  			4.600			0.700			80016  		78395  		8992  		61480  		831452  		924960
	
1.942  			4.400			0.700			80016  		78395  		8992  		61492  		831440  		924948
	
0.962  			4.100			0.700			80016  		78395  		8992  		61472  		831452  		924968
	
0.971  			4.000			0.700			80016  		78395  		8992  		61436  		831488  		925004
	
1.971  			3.700			0.700			80016  		78395  		8992  		61564  		831360  		924876
	
1.000  			3.600			0.700			80016  		78395  		8992  		61296  		831628  		925144
	
0.971  			3.400			0.700			80016  		78395  		8992  		61520  		831396  		924912
	
0.000  			3.300			0.700			80016  		78395  		8992  		61836  		831080  		924596
	
1.000  			3.300			0.700			80016  		78395  		8992  		61476  		831440  		924964
	
1.000  			3.100			0.700			80016  		78395  		8992  		61404  		831512  		925036
	
2.923  			3.100			0.700			80016  		78395  		8992  		61644  		831264  		924796
	
2.000  			3.000			0.700			80016  		78395  		8992  		61708  		831192  		924724
	
1.000  			2.900			0.700			80016  		78395  		8992  		61864  		831036  		924576
	
1.000  			2.900			0.700			80016  		78395  		8992  		61760  		831140  		924680
	
1.000  			2.800			0.700			80016  		78395  		8992  		61788  		831112  		924652
	
1.000  			2.800			0.700			80016  		78395  		8992  		61720  		831180  		924720
	
1.971  			2.700			0.700			80016  		78395  		8992  		61784  		831108  		924656
	
1.000  			2.700			0.700			80016  		78395  		8992  		61548  		831344  		924892
	
1.000  			2.600			0.700			80016  		78395  		8992  		61740  		831152  		924700
	
0.971  			2.600			0.700			80016  		78395  		8992  		61808  		831084  		924632
	
2.000  			2.600			0.700			80016  		78395  		8992  		61516  		831368  		924916
	
2.000  			2.500			0.700			80016  		78395  		8992  		61724  		831160  		924716
	
0.971  			2.500			0.700			80016  		78395  		8992  		61784  		831100  		924656
	
1.971  			2.400			0.700			80016  		78395  		8992  		61780  		831104  		924660
	
1.000  			2.400			0.700			80016  		78395  		8992  		61736  		831148  		924704
	
0.962  			2.400			0.700			80016  		78395  		8992  		61496  		831388  		924944
	
0.000  			2.300			0.700			80016  		78395  		8992  		61864  		831004  		924576
	
2.000  			2.300			0.700			80016  		78395  		8992  		61860  		831008  		924580
	
1.000  			2.300			0.700			80016  		78395  		8992  		61748  		831120  		924692
	
0.000  			2.300			0.700			80016  		78395  		8992  		61732  		831128  		924708
	
0.962  			2.200			0.700			80016  		78395  		8992  		61800  		831060  		924640
	
0.971  			2.200			0.700			80016  		78395  		8992  		61704  		831156  		924736
	
1.971  			2.200			0.700			80016  		78395  		8992  		61524  		831336  		924916
	
0.971  			2.100			0.700			80016  		78395  		8992  		61896  		830964  		924544
	
1.000  			2.100			0.700			80016  		78395  		8992  		61932  		830920  		924500
	
1.971  			2.100			0.700			80016  		78395  		8992  		61748  		831104  		924692
	
1.000  			2.100			0.700			80016  		78395  		8992  		61640  		831212  		924800
	
1.000  			2.000			0.700			80016  		78395  		8992  		61492  		831360  		924948
	
0.971  			2.000			0.700			80016  		78395  		8992  		61580  		831272  		924860
	
0.000  			2.000			0.700			80016  		78395  		8992  		61784  		831060  		924648
	
0.000  			2.000			0.700			80016  		78395  		8992  		61740  		831104  		924700
	
1.000  			2.000			0.700			80016  		78395  		8992  		61704  		831136  		924736
	
