CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			0.200			0.900			31068  		31046  		11212  		57396  		820444  		929032
	
12.902  			1.600			0.900			31068  		31046  		11212  		57404  		820436  		929036
	
4.971  			5.800			1.200			105940  		105918  		14120  		57748  		820092  		928692
	
5.980  			6.000			1.200			105940  		105918  		14120  		57296  		820544  		929144
	
6.961  			5.400			1.200			105940  		105918  		14120  		57284  		820556  		929156
	
4.000  			5.700			1.200			105940  		105918  		14120  		57312  		820520  		929128
	
6.000  			6.100			1.200			105940  		105918  		14120  		57408  		820424  		929032
	
5.961  			5.600			1.200			105940  		105918  		14120  		57320  		820512  		929120
	
5.971  			5.700			1.200			105940  		105918  		14120  		57424  		820408  		929016
	
5.980  			5.900			1.200			105940  		105918  		14120  		57264  		820568  		929176
	
5.942  			5.600			1.200			105940  		105918  		14120  		57320  		820504  		929120
	
5.961  			5.800			1.200			105940  		105918  		14120  		57420  		820396  		929020
	
5.961  			6.000			1.200			105940  		105918  		14120  		57336  		820472  		929104
	
5.971  			5.600			1.200			105940  		105918  		14120  		57396  		820404  		929044
	
4.971  			5.800			1.200			105940  		105918  		14120  		57532  		820260  		928908
	
4.942  			5.900			1.200			105940  		105918  		14120  		57480  		820296  		928960
	
6.883  			5.700			1.200			106068  		106046  		14284  		57632  		820128  		928808
	
4.854  			5.900			1.200			106068  		106046  		14284  		57624  		820128  		928816
	
5.980  			5.900			1.200			106196  		106174  		14440  		57772  		819980  		928668
	
7.942  			5.700			1.200			106196  		106174  		14440  		57844  		819900  		928596
	
6.913  			5.800			1.200			106196  		106174  		14440  		58028  		819700  		928412
	
4.942  			5.900			1.200			106196  		106174  		14440  		57980  		819732  		928460
	
5.000  			5.900			1.200			106196  		106174  		14440  		58016  		819688  		928424
	
6.980  			5.800			1.200			106196  		106174  		14440  		57848  		819848  		928592
	
6.971  			5.900			1.200			106196  		106174  		14440  		58100  		819588  		928340
	
7.000  			5.800			1.200			106196  		106174  		14440  		58136  		819536  		928304
	
4.971  			5.900			1.200			106196  		106174  		14440  		58236  		819428  		928204
	
7.942  			5.800			1.200			106196  		106174  		14440  		58268  		819388  		928172
	
8.942  			5.900			1.200			106196  		106174  		14440  		58388  		819260  		928052
	
4.971  			5.900			1.200			106196  		106174  		14440  		58524  		819116  		927916
	
5.961  			5.900			1.200			106196  		106174  		14440  		58504  		819128  		927936
	
5.942  			5.900			1.200			106196  		106174  		14440  		58268  		819356  		928172
	
4.961  			5.900			1.200			106196  		106174  		14440  		58520  		819096  		927920
	
8.883  			5.900			1.200			106196  		106174  		14440  		58740  		818856  		927692
	
4.942  			5.900			1.200			106196  		106174  		14440  		58852  		818728  		927588
	
4.913  			5.900			1.200			106328  		106306  		14440  		58884  		818688  		927556
	
7.942  			5.900			1.200			106460  		106306  		14440  		58900  		818664  		927540
	
5.971  			5.900			1.200			106460  		106438  		14440  		58760  		818796  		927680
	
6.942  			5.900			1.200			106460  		106438  		14440  		58960  		818588  		927480
	
6.971  			5.900			1.200			106460  		106438  		14440  		59168  		818364  		927272
	
4.942  			5.900			1.200			106460  		106438  		14440  		59248  		818276  		927192
	
6.942  			5.900			1.200			106460  		106438  		14440  		59172  		818344  		927268
	
4.971  			5.900			1.200			106460  		106438  		14440  		59208  		818316  		927232
	
5.000  			5.900			1.200			106460  		106438  		14440  		59352  		818156  		927080
	
5.942  			5.900			1.200			106460  		106438  		14440  		59048  		818460  		927392
	
4.971  			5.900			1.200			106460  		106438  		14440  		59392  		818100  		927048
	
4.980  			5.900			1.200			106460  		106438  		14440  		59584  		817900  		926856
	
4.913  			5.900			1.200			106460  		106438  		14440  		59668  		817808  		926772
	
4.913  			5.900			1.200			106460  		106438  		14440  		60088  		817372  		926352
	
4.942  			5.900			1.200			106460  		106438  		14440  		60208  		817240  		926232
	
3.971  			5.900			1.200			106460  		106438  		14440  		60100  		817332  		926340
	
6.913  			5.900			1.200			106460  		106438  		14440  		60152  		817280  		926288
	
5.942  			5.900			1.200			106460  		106438  		14440  		60348  		817068  		926092
	
6.913  			5.900			1.300			106588  		106566  		14700  		60260  		817148  		926180
	
4.980  			5.900			1.300			106588  		106566  		14700  		60376  		817016  		926064
	
5.971  			5.900			1.400			106716  		106566  		14700  		60468  		816916  		925972
	
6.942  			5.900			1.400			106716  		106694  		14960  		60668  		816700  		925772
	
4.980  			5.900			1.400			106716  		106694  		14960  		60504  		816864  		925936
	
4.000  			5.900			1.400			106716  		106694  		14960  		60764  		816588  		925676
	
5.971  			5.900			1.400			106716  		106694  		14960  		60924  		816420  		925516
	
5.971  			5.900			1.400			106716  		106694  		14960  		60708  		816620  		925732
	
5.942  			5.900			1.400			106716  		106694  		14960  		60796  		816532  		925644
	
5.980  			5.900			1.400			106716  		106694  		14960  		60864  		816448  		925576
	
5.971  			5.900			1.400			106716  		106694  		14960  		60880  		816424  		925560
	
5.980  			5.900			1.400			106716  		106694  		14960  		60816  		816472  		925624
	
6.942  			5.900			1.400			106716  		106694  		14960  		61184  		816096  		925256
	
5.913  			5.900			1.400			106716  		106694  		14960  		60996  		816276  		925444
	
5.971  			5.900			1.400			106716  		106694  		14960  		61184  		816072  		925256
	
4.971  			5.900			1.400			106716  		106694  		14960  		61276  		815980  		925164
	
6.942  			5.900			1.400			106716  		106694  		14960  		61516  		815716  		924924
	
4.961  			5.900			1.400			106716  		106694  		14960  		61568  		815656  		924872
	
4.941  			5.900			1.400			106716  		106694  		14960  		61548  		815668  		924892
	
4.000  			5.900			1.400			106848  		106826  		14960  		61500  		815692  		924940
	
3.971  			5.900			1.400			106848  		106826  		14960  		61840  		815352  		924600
	
7.883  			5.900			1.400			106980  		106958  		14960  		61856  		815320  		924584
	
5.961  			5.900			1.400			106980  		106958  		14960  		62008  		815160  		924432
	
6.942  			5.900			1.400			106980  		106958  		14960  		62056  		815096  		924384
	
5.942  			5.900			1.400			106980  		106958  		14960  		62168  		814968  		924272
	
5.942  			5.900			1.400			106980  		106958  		14960  		62112  		815024  		924328
	
6.000  			5.900			1.400			106980  		106958  		14960  		62268  		814852  		924172
	
5.971  			5.900			1.400			106980  		106958  		14960  		62012  		815100  		924428
	
4.000  			5.900			1.400			106980  		106958  		14960  		62212  		814884  		924228
	
6.971  			5.900			1.400			106980  		106958  		14960  		62348  		814740  		924092
	
5.971  			5.900			1.400			106980  		106958  		14960  		62332  		814748  		924108
	
5.942  			5.900			1.400			106980  		106958  		14960  		62432  		814640  		924008
	
3.942  			5.800			1.400			106980  		106958  		15080  		62532  		814516  		923904
	
2.000  			5.800			1.400			106980  		106958  		15080  		62780  		814268  		923660
	
2.980  			5.800			1.400			106980  		106958  		15080  		62568  		814480  		923872
	
2.000  			5.800			1.400			106980  		106958  		15080  		62768  		814272  		923672
	
3.961  			5.700			1.400			106980  		106958  		15080  		62700  		814328  		923740
	
2.000  			5.700			1.400			106980  		106958  		15080  		62536  		814484  		923904
	
3.942  			5.700			1.400			106980  		106958  		15080  		62696  		814312  		923744
	
1.971  			5.700			1.400			106980  		106958  		15080  		62780  		814228  		923660
	
2.971  			5.600			1.400			107112  		107090  		15080  		62780  		814220  		923660
	
1.980  			5.600			1.400			107112  		107090  		15340  		62836  		814144  		923596
	
4.941  			5.600			1.400			107112  		107090  		15340  		62832  		814148  		923608
	
2.000  			5.600			1.400			107112  		107090  		15340  		62716  		814256  		923724
	
1.980  			5.500			1.400			107112  		107090  		15388  		62688  		814280  		923752
	
4.000  			5.500			1.400			107112  		107090  		15388  		62892  		814076  		923548
	
-18.510  			5.500			1.400			107112  		107090  		15388  		63032  		813916  		923408
	
0.000  			5.200			1.400			106980  		106959  		15280  		60744  		816432  		925696
	
1.942  			5.200			1.400			106980  		106959  		15280  		60544  		816632  		925896
	
0.000  			5.200			1.400			106980  		106959  		15280  		60556  		816612  		925876
	
0.000  			5.100			1.400			106980  		106959  		15280  		60656  		816512  		925784
	
0.000  			5.100			1.400			106980  		106959  		15280  		60776  		816392  		925664
	
0.000  			5.100			1.400			106980  		106959  		15280  		60684  		816484  		925756
	
0.000  			4.900			1.400			106980  		106959  		15280  		60536  		816632  		925904
	
0.000  			4.900			1.400			106980  		106959  		15280  		60580  		816588  		925860
	
0.000  			4.900			1.400			106980  		106959  		15280  		60724  		816436  		925716
	
0.000  			4.900			1.400			106980  		106959  		15280  		60544  		816616  		925896
	
0.000  			4.700			1.400			106980  		106959  		15280  		60560  		816600  		925880
	
0.000  			4.700			1.400			106980  		106959  		15280  		60648  		816504  		925792
	
0.000  			4.700			1.400			106980  		106959  		15280  		60592  		816560  		925848
	
0.000  			4.700			1.400			106980  		106959  		15280  		60640  		816512  		925800
	
0.000  			4.700			1.400			106980  		106959  		15280  		60580  		816572  		925860
	
0.000  			4.500			1.400			106980  		106959  		15280  		60580  		816572  		925860
	
1.961  			4.500			1.400			106980  		106959  		15280  		60524  		816620  		925908
	
0.000  			4.500			1.400			106980  		106959  		15280  		60612  		816532  		925828
	
0.000  			4.500			1.400			106980  		106959  		15280  		60684  		816460  		925756
	
0.000  			4.500			1.400			106980  		106959  		15280  		60624  		816520  		925816
	
