CPU		MEM		VSZ		DRS		RSS		USED		FREE		AVAILABLE	
0.000000		0.000000		0		0		0		1093560		5482388		6692740
	
0.000000		0.000000		0		0		0		1092700		5483248		6693600
	
0.000000		0.000000		0		0		0		1092428		5483520		6693872
	
0.000000		0.000000		0		0		0		1092920		5483028		6693380
	
0.000000		0.000000		0		0		0		1092848		5483100		6693452
	
0.000000		0.000000		0		0		0		1092788		5483160		6693512
	
0.000000		0.000000		0		0		0		1092980		5482968		6693320
	
0.000000		0.000000		0		0		0		1092820		5483128		6693480
	
0.000000		0.000000		0		0		0		1092732		5483216		6693568
	
0.000000		0.000000		0		0		0		1093112		5482836		6693188
	
0.000000		0.000000		0		0		0		1092844		5483104		6693456
	
0.000000		0.000000		0		0		0		1093056		5482892		6693244
	
0.000000		0.000000		0		0		0		1092772		5483176		6693528
	
0.000000		0.000000		0		0		0		1092472		5483468		6693828
	
0.000000		0.000000		0		0		0		1092396		5483544		6693904
	
0.000000		0.000000		0		0		0		1092868		5483072		6693432
	
0.000000		0.000000		0		0		0		1092948		5482992		6693352
	
0.000000		0.000000		0		0		0		1092832		5483108		6693468
	
0.000000		0.000000		0		0		0		1092660		5483280		6693640
	
0.000000		0.000000		0		0		0		1092676		5483264		6693624
	
0.000000		0.000000		0		0		0		1092912		5483028		6693388
	
0.000000		0.000000		0		0		0		1092568		5483372		6693732
	
0.000000		0.000000		0		0		0		1092788		5483152		6693512
	
0.000000		0.000000		0		0		0		1093000		5482940		6693300
	
0.000000		0.000000		0		0		0		1092404		5483552		6693896
	
0.000000		0.000000		0		0		0		1092708		5483248		6693592
	
0.000000		0.000000		0		0		0		1092364		5483592		6693936
	
0.000000		0.000000		0		0		0		1092268		5483688		6694032
	
0.000000		0.000000		0		0		0		1092676		5483280		6693624
	
0.000000		0.000000		0		0		0		1093172		5482784		6693128
	
0.000000		0.000000		0		0		0		1093000		5482956		6693300
	
0.000000		0.000000		0		0		0		1092748		5483208		6693552
	
0.000000		0.000000		0		0		0		1092832		5483124		6693468
	
0.000000		0.000000		0		0		0		1093268		5482688		6693032
	
0.000000		0.000000		0		0		0		1092924		5483032		6693376
	
0.000000		0.000000		0		0		0		1092936		5483020		6693364
	
0.000000		0.000000		0		0		0		1092804		5483152		6693496
	
0.000000		0.000000		0		0		0		1092948		5483008		6693352
	
0.000000		0.000000		0		0		0		1092948		5483008		6693352
	
0.000000		0.000000		0		0		0		1092948		5483008		6693352
	
0.000000		0.000000		0		0		0		1092508		5483448		6693792
	
0.000000		0.000000		0		0		0		1093028		5482928		6693272
	
0.000000		0.000000		0		0		0		1092512		5483444		6693788
	
0.000000		0.000000		0		0		0		1092544		5483412		6693756
	
0.000000		0.000000		0		0		0		1092892		5483064		6693408
	
0.000000		0.000000		0		0		0		1092744		5483212		6693556
	
0.000000		0.000000		0		0		0		1093448		5482508		6692852
	
0.000000		0.000000		0		0		0		1093120		5482836		6693180
	
0.000000		0.000000		0		0		0		1092628		5483312		6693672
	
0.000000		0.000000		0		0		0		1092564		5483372		6693736
	
0.000000		0.000000		0		0		0		1092384		5483552		6693916
	
0.000000		0.000000		0		0		0		1092492		5483444		6693808
	
0.000000		0.000000		0		0		0		1092616		5483320		6693684
	
0.000000		0.000000		0		0		0		1092544		5483392		6693756
	
0.000000		0.000000		0		0		0		1092632		5483304		6693668
	
0.000000		0.000000		0		0		0		1092240		5483696		6694060
	
0.000000		0.000000		0		0		0		1092792		5483144		6693508
	
0.000000		0.000000		0		0		0		1092732		5483204		6693568
	
0.000000		0.000000		0		0		0		1092924		5483012		6693376
	
0.000000		0.000000		0		0		0		1092848		5483088		6693452
	
0.000000		0.000000		0		0		0		1092676		5483264		6693624
	
0.000000		0.000000		0		0		0		1093124		5482816		6693176
	
0.000000		0.000000		0		0		0		1092696		5483244		6693604
	
0.000000		0.000000		0		0		0		1092896		5483044		6693404
	
0.000000		0.000000		0		0		0		1092836		5483104		6693464
	
0.000000		0.000000		0		0		0		1092880		5483060		6693420
	
0.000000		0.000000		0		0		0		1092636		5483292		6693664
	
0.000000		0.000000		0		0		0		1092508		5483420		6693792
	
0.000000		0.000000		0		0		0		1092532		5483396		6693768
	
0.000000		0.000000		0		0		0		1092640		5483288		6693660
	
0.000000		0.000000		0		0		0		1092944		5482968		6693356
	
0.000000		0.000000		0		0		0		1092656		5483256		6693644
	
0.000000		0.000000		0		0		0		1092448		5483436		6693852
	
0.000000		0.000000		0		0		0		1093308		5482576		6692992
	
0.000000		0.000000		0		0		0		1093028		5482856		6693272
	
0.000000		0.000000		0		0		0		1092988		5482896		6693312
	
0.000000		0.000000		0		0		0		1092936		5482948		6693364
	
0.000000		0.000000		0		0		0		1092968		5482916		6693332
	
0.000000		0.000000		0		0		0		1092992		5482892		6693308
	
0.000000		0.000000		0		0		0		1092956		5482928		6693344
	
0.000000		0.000000		0		0		0		1093536		5482348		6692764
	
0.000000		0.000000		0		0		0		1092960		5482924		6693340
	
0.000000		0.000000		0		0		0		1092904		5482980		6693396
	
0.000000		0.000000		0		0		0		1092724		5483144		6693576
	
0.000000		0.000000		0		0		0		1092944		5482924		6693356
	
0.000000		0.000000		0		0		0		1092660		5483208		6693640
	
0.000000		0.000000		0		0		0		1092836		5483032		6693464
	
0.000000		0.000000		0		0		0		1092908		5482960		6693392
	
0.000000		0.000000		0		0		0		1092588		5483280		6693712
	
0.000000		0.000000		0		0		0		1092772		5483096		6693528
	
0.000000		0.000000		0		0		0		1092696		5483172		6693604
	
0.000000		0.000000		0		0		0		1092524		5483344		6693776
	
0.000000		0.000000		0		0		0		1092660		5483208		6693640
	
0.000000		0.000000		0		0		0		1092412		5483456		6693888
	
0.000000		0.000000		0		0		0		1092792		5483076		6693508
	
0.000000		0.000000		0		0		0		1092464		5483476		6693836
	
0.000000		0.000000		0		0		0		1093204		5482736		6693096
	
0.000000		0.000000		0		0		0		1092840		5483100		6693460
	
0.000000		0.000000		0		0		0		1092572		5483368		6693728
	
0.000000		0.000000		0		0		0		1092648		5483292		6693652
	
0.000000		0.000000		0		0		0		1092796		5483144		6693504
	
0.000000		0.000000		0		0		0		1092936		5483004		6693364
	
0.000000		0.000000		0		0		0		1092752		5483188		6693548
	
0.000000		0.000000		0		0		0		1092860		5483080		6693440
	
0.000000		0.000000		0		0		0		1092860		5483080		6693440
	
0.000000		0.000000		0		0		0		1092792		5483148		6693508
	
0.000000		0.000000		0		0		0		1092568		5483372		6693732
	
0.000000		0.000000		0		0		0		1092568		5483372		6693732
	
0.000000		0.000000		0		0		0		1092536		5483404		6693764
	
0.000000		0.000000		0		0		0		1092824		5483116		6693476
	
0.000000		0.000000		0		0		0		1092432		5483508		6693868
	
0.000000		0.000000		0		0		0		1092652		5483288		6693648
	
0.000000		0.000000		0		0		0		1092480		5483460		6693820
	
0.000000		0.000000		0		0		0		1092332		5483608		6693968
	
0.000000		0.000000		0		0		0		1092888		5483052		6693412
	
0.000000		0.000000		0		0		0		1092848		5483092		6693452
	
0.000000		0.000000		0		0		0		1092796		5483144		6693504
	
0.000000		0.000000		0		0		0		1092908		5483032		6693392
	
0.000000		0.000000		0		0		0		1093140		5482800		6693160
	
0.000000		0.000000		0		0		0		1092444		5483496		6693856
	
0.000000		0.000000		0		0		0		1092900		5483040		6693400
	
0.000000		0.000000		0		0		0		1092544		5483396		6693756
	
0.000000		0.000000		0		0		0		1092900		5483040		6693400
	
0.000000		0.000000		0		0		0		1092536		5483404		6693764
	
0.000000		0.000000		0		0		0		1092680		5483260		6693620
	
0.000000		0.000000		0		0		0		1092592		5483348		6693708
	
0.000000		0.000000		0		0		0		1092576		5483364		6693724
	
0.000000		0.000000		0		0		0		1092700		5483240		6693600
	
0.000000		0.000000		0		0		0		1093176		5482764		6693124
	
0.000000		0.000000		0		0		0		1092616		5483320		6693684
	
0.000000		0.000000		0		0		0		1092828		5483108		6693472
	
0.000000		0.000000		0		0		0		1093012		5482924		6693288
	
0.000000		0.000000		0		0		0		1092924		5483012		6693376
	
0.000000		0.000000		0		0		0		1092256		5483680		6694044
	
0.000000		0.000000		0		0		0		1092700		5483236		6693600
	
0.000000		0.000000		0		0		0		1092604		5483332		6693696
	
0.000000		0.000000		0		0		0		1092872		5483064		6693428
	
0.000000		0.000000		0		0		0		1092552		5483384		6693748
	
0.000000		0.000000		0		0		0		1092724		5483212		6693576
	
0.000000		0.000000		0		0		0		1092676		5483260		6693624
	
0.000000		0.000000		0		0		0		1092424		5483512		6693876
	
0.000000		0.000000		0		0		0		1092524		5483412		6693776
	
0.000000		0.000000		0		0		0		1092352		5483576		6693948
	
0.000000		0.000000		0		0		0		1092436		5483492		6693864
	
0.000000		0.000000		0		0		0		1092684		5483244		6693616
	
0.000000		0.000000		0		0		0		1092656		5483272		6693644
	
0.000000		0.000000		0		0		0		1092448		5483480		6693852
	
