CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			1.000			1.200			31068  		31046  		13464  		56568  		843572  		929872
	
12.883  			1.500			1.200			31068  		31046  		13464  		56716  		843424  		929724
	
5.961  			4.800			1.200			105940  		105918  		14188  		56936  		843204  		929504
	
3.942  			5.100			1.200			105940  		105918  		14188  		56672  		843468  		929768
	
5.913  			4.600			1.200			105940  		105918  		14188  		56724  		843424  		929716
	
5.942  			5.000			1.200			105940  		105918  		14188  		56692  		843456  		929748
	
5.913  			4.700			1.200			105940  		105918  		14188  		56656  		843492  		929784
	
5.971  			4.900			1.200			105940  		105918  		14188  		56724  		843424  		929716
	
4.913  			5.000			1.200			105940  		105918  		14188  		56752  		843396  		929688
	
4.000  			4.800			1.200			105940  		105918  		14188  		56660  		843488  		929780
	
3.000  			4.900			1.200			105940  		105918  		14188  		56496  		843652  		929944
	
5.942  			4.900			1.200			105940  		105918  		14188  		56604  		843536  		929836
	
4.942  			4.800			1.200			105940  		105918  		14188  		56736  		843388  		929704
	
3.971  			4.900			1.200			105940  		105918  		14188  		56812  		843304  		929628
	
4.980  			4.900			1.200			105940  		105918  		14188  		57004  		843104  		929436
	
5.000  			4.900			1.200			105940  		105918  		14188  		56892  		843208  		929548
	
5.942  			4.800			1.200			105940  		105918  		14188  		56908  		843192  		929532
	
4.000  			4.900			1.200			105940  		105918  		14188  		56940  		843152  		929500
	
4.883  			4.900			1.200			105940  		105918  		14188  		56920  		843156  		929520
	
6.961  			4.800			1.300			106068  		106046  		14344  		56936  		843140  		929504
	
4.913  			5.000			1.300			106068  		106046  		14344  		57056  		843012  		929384
	
3.980  			4.900			1.300			106200  		106178  		14344  		57160  		842900  		929280
	
4.980  			4.800			1.300			106200  		106178  		14344  		57240  		842812  		929200
	
5.922  			4.900			1.300			106200  		106178  		14344  		57304  		842740  		929136
	
4.941  			5.000			1.300			106200  		106178  		14344  		57416  		842620  		929024
	
4.941  			4.800			1.300			106200  		106178  		14344  		57436  		842592  		929004
	
5.961  			4.900			1.300			106200  		106178  		14344  		57596  		842424  		928844
	
5.942  			5.000			1.300			106200  		106178  		14344  		57476  		842536  		928964
	
4.961  			4.900			1.300			106200  		106178  		14344  		57492  		842512  		928948
	
6.913  			5.000			1.300			106200  		106178  		14344  		57472  		842524  		928968
	
2.971  			5.000			1.300			106200  		106178  		14344  		57748  		842240  		928692
	
